"data_base" "V1" "modalidade" "origem" "porte" "cliente" "carteira_ativa" "carteira_inadimplida_arrastada" "ativo_problematico" "a_vencer_ate_90_dias" "a_vencer_de_91_ate_360_dias" "a_vencer_de_361_ate_1080_dias" "a_vencer_de_1081_ate_1800_dias" "a_vencer_de_1801_ate_5400_dias" "a_vencer_acima_de_5400_dias" "Taxa_de_juros_Selic_acumulada_no_mes" "Selic_fixada.pelo_Copom" "IBC_Br_indice"
2012-06-30 26 "PF - Empréstimo sem consignação em folha" "Com destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 99898.43 2031.75 3986.85 22306.12 67941.47 7112.75 0 0 0 0.64 8.5 142.28
2012-06-30 27 "PF - Empréstimo sem consignação em folha" "Com destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 88358.19 0 6634.04 22941.69 57446.78 1335.68 0 0 0 0.64 8.5 142.28
2012-06-30 28 "PF - Empréstimo sem consignação em folha" "Com destinação específica" "PF - Sem rendimento" "PF" 44837569.7 1076793.67 2318587.41 8295016.16 14670661.95 15528183.68 3309357.52 1869347.26 0 0.64 8.5 142.28
2012-06-30 29 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Acima de 20 salários mínimos" "PF" 17378924398.94 922592159.54 1682707474.38 2624494728.81 5570183309.99 6368101385.98 1255692734.12 524132696.82 608729.85 0.64 8.5 142.28
2012-06-30 30 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Até 1 salário mínimo" "PF" 5317704554.58 540485167.42 932733341.48 927853225.92 1856476951.52 1824619331.14 266349272.87 60966134.57 353016.81 0.64 8.5 142.28
2012-06-30 31 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Indisponível" "PF" 13768463.79 3412705.7 5110594.39 3325986.18 3160457.12 3577536.16 142356.53 0 0 0.64 8.5 142.28
2012-06-30 32 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Mais de 1 a 2 salários mínimos" "PF" 5530430330.08 565069025.35 974067427.18 1110101120.56 1948375263.98 1693819270.2 277106879.95 76989807.89 94934.25 0.64 8.5 142.28
2012-06-30 33 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Mais de 10 a 20 salários mínimos" "PF" 10986587843.88 456241668.43 967130475.51 1513848961.8 3403558361.48 4121836279.17 1256200907.67 428453875.15 46158.57 0.64 8.5 142.28
2012-06-30 34 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Mais de 2 a 3 salários mínimos" "PF" 4858146294.7 393723535.55 721546316.77 915819169.76 1720713132.72 1535444794.91 322775760.88 76391689.88 10693.78 0.64 8.5 142.28
2012-06-30 35 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Mais de 3 a 5 salários mínimos" "PF" 8178946068.16 492830218.41 1013838344.31 1412809198.34 2762496534.45 2760615420.85 724024365.81 178008978.23 96453.39 0.64 8.5 142.28
2012-06-30 36 "PF - Empréstimo sem consignação em folha" "Sem destinação específica" "PF - Mais de 5 a 10 salários mínimos" "PF" 13089731075.36 677903842.25 1456636731.08 1914040536.62 4130395434.26 4741330292.71 1447141400.78 435828174.22 25321.52 0.64 8.5 142.28
